,Owner,Session ID,Mouse ID,Date,Phase,Laser Stim Prob,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
801,mike,05052017_PV25,PV25,2017-05-05 00:00:00,1,0.0,1.0,1.0,1000,1000,4,0,4,0.0,12,1.0,45,45
802,mike,05052017_PV29,PV29,2017-05-05 00:00:00,1,0.0,1.0,1.0,1000,1000,6,0,6,0.0,12,1.0,45,45
803,mike,05052017_SOM39,SOM39,2017-05-05 00:00:00,1,0.0,1.0,1.0,1000,1000,2,0,2,0.0,12,1.0,45,45
804,mike,05052017_SOM42,SOM42,2017-05-05 00:00:00,2,0.0,1.0,0.0,30,30,148,2,68,0.46,10,1.0,45,45
805,mike,05052017_SOM44,SOM44,2017-05-05 00:00:00,1,0.0,1.0,1.0,1000,1000,19,0,19,0.0,12,1.0,45,45
806,mike,05052017_SOM45,SOM45,2017-05-05 00:00:00,1,0.0,1.0,1.0,1000,1000,4,0,4,0.0,12,1.0,45,45
807,mike,05092017_PV29,PV29,2017-05-09 00:00:00,1,0.0,1.0,1.0,1000,1000,20,0,20,0.0,10,1.0,45,45
808,mike,05092017_SOM44,SOM44,2017-05-09 00:00:00,2,0.0,0.0,1.0,30,30,118,2,65,0.55,10,1.0,45,45
809,mike,05092017_SOM45,SOM45,2017-05-09 00:00:00,1,0.0,1.0,1.0,1000,1000,22,0,22,0.0,10,1.0,45,45
810,mike,05102017_PV29,PV29,2017-05-10 00:00:00,1,0.0,1.0,1.0,1000,1000,23,0,23,0.0,10,1.0,45,45
811,mike,05102017_SOM42,SOM42,2017-05-10 00:00:00,2,0.0,1.0,0.0,30,30,149,3,114,0.77,10,1.0,45,45
812,mike,05102017_SOM44,SOM44,2017-05-10 00:00:00,1,0.0,1.0,1.0,1000,1000,43,0,43,0.0,10,1.0,45,45
813,mike,05102017_SOM45,SOM45,2017-05-10 00:00:00,1,0.0,1.0,1.0,1000,1000,19,0,19,0.0,10,1.0,45,45
814,mike,05112017_PV29,PV29,2017-05-11 00:00:00,1,0.0,1.0,1.0,1000,1000,12,0,12,0.0,7,1.0,40,40
815,mike,05112017_SOM42,SOM42,2017-05-11 00:00:00,2,0.0,1.0,0.0,50,50,7,0,6,0.86,7,1.0,40,40
816,mike,05112017_SOM44,SOM44,2017-05-11 00:00:00,1,0.0,1.0,1.0,1000,1000,15,0,15,0.0,7,1.0,40,40
817,mike,05112017_SOM45,SOM45,2017-05-11 00:00:00,1,0.0,1.0,1.0,1000,1000,27,0,27,0.0,7,1.0,40,40
818,mike,05122017_PV29,PV29,2017-05-12 00:00:00,1,0.0,1.0,1.0,1000,1000,14,0,14,0.0,7,1.0,40,40
819,mike,05122017_SOM42,SOM42,2017-05-12 00:00:00,2,0.0,0.0,1.0,50,50,68,0,44,0.65,7,1.0,40,40
820,mike,05122017_SOM44,SOM44,2017-05-12 00:00:00,1,0.0,1.0,1.0,1000,1000,14,0,14,0.0,7,1.0,40,40
821,mike,05122017_SOM45,SOM45,2017-05-12 00:00:00,1,0.0,1.0,1.0,1000,1000,36,0,36,0.0,7,1.0,40,40
822,mike,05222017_PV29,PV29,2017-05-22 00:00:00,1,0.0,1.0,1.0,1000,1000,61,0,61,0.0,7,1.0,40,40
823,mike,05222017_SOM42,SOM42,2017-05-22 00:00:00,2,0.0,1.0,0.0,50,50,13,0,6,0.46,7,1.0,40,40
824,mike,05222017_SOM44,SOM44,2017-05-22 00:00:00,1,0.0,1.0,1.0,1000,1000,56,0,56,0.0,7,1.0,40,40
825,mike,05222017_SOM45,SOM45,2017-05-22 00:00:00,1,0.0,1.0,1.0,1000,1000,26,0,26,0.0,7,1.0,40,40
826,mike,05232017_PV29,PV29,2017-05-23 00:00:00,1,0.0,1.0,1.0,1000,1000,50,0,50,0.0,5,1.0,40,40
827,mike,05232017_PV30,PV30,2017-05-23 00:00:00,0,0.0,1.0,1.0,1000,1000,1,0,0,0.0,2,1.0,50,50
828,mike,05232017_SOM42,SOM42,2017-05-23 00:00:00,2,0.0,0.0,1.0,30,30,29,0,23,0.79,5,1.0,40,40
829,mike,05232017_SOM44,SOM44,2017-05-23 00:00:00,1,0.0,1.0,1.0,1000,1000,73,0,73,0.0,5,1.0,40,40
830,mike,05232017_SOM45,SOM45,2017-05-23 00:00:00,1,0.0,1.0,1.0,1000,1000,20,0,20,0.0,5,1.0,40,40
831,mike,05242017_PV30,PV30,2017-05-24 00:00:00,1,0.0,1.0,1.0,1000,1000,4,0,4,0.0,15,1.0,50,50
832,mike,05242017_SOM42,SOM42,2017-05-24 00:00:00,2,0.0,1.0,0.0,30,30,5,0,3,0.6,5,1.0,40,40
833,mike,05242017_SOM44,SOM44,2017-05-24 00:00:00,2,0.0,1.0,0.0,30,30,26,0,19,0.73,5,1.0,40,40
834,mike,05242017_SOM45,SOM45,2017-05-24 00:00:00,1,0.0,1.0,1.0,1000,1000,23,0,23,0.0,5,1.0,40,40
835,mike,05242017_PV29,PV29,2017-05-24 00:00:00,2,0.0,0.0,1.0,30,30,16,0,14,0.88,5,1.0,40,40
836,mike,05252017_PV30,PV30,2017-05-25 00:00:00,1,0.0,1.0,1.0,1000,1000,3,0,3,0.0,15,1.0,50,50
837,mike,05252017_SOM42,SOM42,2017-05-25 00:00:00,2,0.0,1.0,0.0,30,30,15,0,5,0.33,5,1.0,40,40
838,mike,05252017_SOM44,SOM44,2017-05-25 00:00:00,2,0.0,1.0,0.0,30,30,25,0,17,0.68,5,1.0,40,40
839,mike,05252017_SOM45,SOM45,2017-05-25 00:00:00,1,0.0,1.0,1.0,1000,1000,24,0,24,0.0,5,1.0,40,40
840,mike,05262017_PV29,PV29,2017-05-26 00:00:00,2,0.0,0.0,1.0,30,30,25,0,20,0.8,5,1.0,40,40
841,mike,05262017_PV30,PV30,2017-05-26 00:00:00,1,0.0,1.0,1.0,1000,1000,2,0,2,0.0,15,1.0,50,50
842,mike,05262017_SOM41,SOM41,2017-05-26 00:00:00,1,0.0,1.0,1.0,1000,1000,1,0,1,0.0,15,1.0,50,50
843,mike,05262017_SOM42,SOM42,2017-05-26 00:00:00,2,0.0,1.0,0.0,50,50,8,0,1,0.12,7,1.0,40,40
844,mike,05262017_SOM44,SOM44,2017-05-26 00:00:00,2,0.0,1.0,0.0,30,30,13,0,9,0.69,5,1.0,40,40
845,mike,05262017_SOM45,SOM45,2017-05-26 00:00:00,1,0.0,1.0,1.0,1000,1000,17,0,17,0.0,5,1.0,40,40
846,mike,05302017_PV29,PV29,2017-05-30 00:00:00,2,0.0,0.0,1.0,50,50,22,0,17,0.77,5,1.0,40,40
847,mike,05302017_SOM41,SOM41,2017-05-30 00:00:00,1,0.0,1.0,1.0,1000,1000,1,0,1,0.0,15,1.0,50,50
848,mike,05302017_SOM42,SOM42,2017-05-30 00:00:00,1,0.0,1.0,1.0,1000,1000,64,0,64,0.0,7,1.0,40,40
849,mike,05302017_SOM44,SOM44,2017-05-30 00:00:00,2,0.0,1.0,0.0,50,50,21,0,15,0.71,5,1.0,40,40
850,mike,05302017_SOM45,SOM45,2017-05-30 00:00:00,1,0.0,1.0,1.0,1000,1000,62,0,62,0.0,5,1.0,40,40
851,mike,05312017_PV29,PV29,2017-05-31 00:00:00,2,0.0,0.0,1.0,1000,1000,16,0,11,0.69,5,1.0,40,40
852,mike,05312017_PV30,PV30,2017-05-31 00:00:00,1,0.0,1.0,1.0,1000,1000,1,0,1,0.0,15,1.0,50,50
853,mike,05312017_SOM41,SOM41,2017-05-31 00:00:00,1,0.0,1.0,1.0,1000,1000,3,0,3,0.0,15,1.0,50,50
854,mike,05312017_SOM42,SOM42,2017-05-31 00:00:00,1,0.0,1.0,1.0,1000,1000,23,0,23,0.0,7,1.0,45,45
855,mike,05312017_SOM44,SOM44,2017-05-31 00:00:00,2,0.0,1.0,0.0,30,30,17,0,17,1.0,5,1.0,40,40
856,mike,05312017_SOM45,SOM45,2017-05-31 00:00:00,1,0.0,1.0,1.0,1000,1000,16,0,16,0.0,5,1.0,40,40
857,mike,06012017_PV29,PV29,2017-06-01 00:00:00,2,0.0,0.0,1.0,50,50,28,0,23,0.82,5,1.0,40,40
858,mike,06012017_PV30,PV30,2017-06-01 00:00:00,1,0.0,1.0,1.0,1000,1000,1,0,1,0.0,15,1.0,50,50
859,mike,06012017_SOM41,SOM41,2017-06-01 00:00:00,1,0.0,1.0,1.0,1000,1000,22,0,22,0.0,15,1.0,50,50
860,mike,06012017_SOM42,SOM42,2017-06-01 00:00:00,1,0.0,1.0,1.0,1000,1000,25,0,25,0.0,7,1.0,45,45
861,mike,06012017_SOM44,SOM44,2017-06-01 00:00:00,2,0.0,1.0,0.0,30,30,18,0,15,0.83,5,1.0,10,40
862,mike,06012017_SOM45,SOM45,2017-06-01 00:00:00,1,0.0,1.0,1.0,50,50,18,0,18,0.0,5,1.0,40,40
863,mike,06022017_PV29,PV29,2017-06-02 00:00:00,2,0.0,0.0,1.0,50,50,40,0,32,0.8,5,1.0,40,40
864,mike,06022017_PV30,PV30,2017-06-02 00:00:00,1,0.0,1.0,1.0,1000,1000,1,0,1,0.0,15,1.0,50,50
865,mike,06022017_SOM41,SOM41,2017-06-02 00:00:00,1,0.0,1.0,1.0,1000,1000,44,0,44,0.0,15,1.0,50,50
866,mike,06022017_SOM42,SOM42,2017-06-02 00:00:00,1,0.0,1.0,1.0,1000,1000,15,0,15,0.0,7,1.0,40,4
867,mike,06022017_SOM44,SOM44,2017-06-02 00:00:00,2,0.0,1.0,0.0,30,30,18,0,16,0.89,5,1.0,40,40
868,mike,06022017_SOM45,SOM45,2017-06-02 00:00:00,1,0.0,1.0,1.0,1000,1000,8,0,8,0.0,7,1.0,40,40
869,mike,06052017_PV29,PV29,2017-06-05 00:00:00,2,0.0,1.0,0.0,50,50,58,1,50,0.86,5,1.0,40,40
870,mike,06052017_PV30,PV30,2017-06-05 00:00:00,1,0.0,1.0,1.0,1000,1000,5,0,5,0.0,15,1.0,50,50
871,mike,06052017_SOM41,SOM41,2017-06-05 00:00:00,1,0.0,1.0,1.0,1000,1000,89,0,89,0.0,15,1.0,50,50
872,mike,06052017_SOM42,SOM42,2017-06-05 00:00:00,1,0.0,1.0,1.0,1000,1000,172,0,172,0.0,7,1.0,40,40
873,mike,06052017_SOM44,SOM44,2017-06-05 00:00:00,2,0.0,0.0,1.0,50,50,73,1,51,0.7,5,1.0,40,40
874,mike,06052017_SOM45,SOM45,2017-06-05 00:00:00,1,0.0,1.0,1.0,1000,1000,69,0,69,0.0,27,1.0,45,45
875,mike,06062017_PV29,PV29,2017-06-06 00:00:00,2,0.0,1.0,0.0,30,30,43,1,30,0.7,5,1.0,40,40
876,mike,06062017_PV30,PV30,2017-06-06 00:00:00,1,0.0,1.0,1.0,1000,1000,22,0,22,0.0,15,1.0,50,50
877,mike,06062017_SOM41,SOM41,2017-06-06 00:00:00,2,0.0,0.0,1.0,50,50,93,1,55,0.59,10,1.0,50,50
878,mike,06062017_SOM42,SOM42,2017-06-06 00:00:00,2,0.0,0.0,1.0,50,50,169,2,127,0.75,5,1.0,40,40
879,mike,06062017_SOM44,SOM44,2017-06-06 00:00:00,2,0.0,0.0,1.0,30,30,80,1,37,0.46,5,1.0,40,40
880,mike,06062017_SOM45,SOM45,2017-06-06 00:00:00,1,0.0,1.0,1.0,1000,1000,122,0,122,0.0,7,1.0,45,45
881,mike,06072017_PV29,PV29,2017-06-07 00:00:00,2,0.0,1.0,0.0,30,30,53,1,30,0.57,5,1.0,40,40
882,mike,06072017_PV30,PV30,2017-06-07 00:00:00,1,0.0,1.0,1.0,1000,1000,56,0,56,0.0,15,1.0,50,50
883,mike,06072017_SOM41,SOM41,2017-06-07 00:00:00,2,0.0,0.0,1.0,50,50,82,1,54,0.66,10,1.0,45,45
884,mike,06072017_SOM42,SOM42,2017-06-07 00:00:00,2,0.0,1.0,0.0,50,50,201,2,148,0.74,7,1.0,45,45
885,mike,06072017_SOM44,SOM44,2017-06-07 00:00:00,2,0.0,0.0,1.0,30,30,111,0,26,0.23,5,1.0,40,40
886,mike,06072017_SOM45,SOM45,2017-06-07 00:00:00,1,0.0,1.0,1.0,1000,1000,238,0,238,0.0,7,1.0,45,45
887,mike,06082017_PV29,PV29,2017-06-08 00:00:00,2,0.0,1.0,0.0,30,30,52,1,31,0.6,5,1.0,40,40
888,mike,06082017_PV30,PV30,2017-06-08 00:00:00,2,0.0,0.0,1.0,30,30,51,1,30,0.59,15,1.0,50,50
889,mike,06082017_SOM41,SOM41,2017-06-08 00:00:00,2,0.0,0.0,1.0,50,50,96,1,64,0.67,5,1.0,45,45
890,mike,06082017_SOM42,SOM42,2017-06-08 00:00:00,2,0.0,1.0,0.0,50,50,245,3,181,0.74,5,1.0,45,45
891,mike,06082017_SOM44,SOM44,2017-06-08 00:00:00,2,0.0,1.0,0.0,30,30,94,1,38,0.4,5,1.0,40,40
892,mike,06082017_SOM45,SOM45,2017-06-08 00:00:00,2,0.0,0.0,1.0,50,50,161,1,78,0.48,5,1.0,40,40
893,mike,06092017_SOM41,SOM41,2017-06-09 00:00:00,2,0.0,0.0,1.0,50,50,87,1,60,0.69,10,1.0,45,45
894,mike,06092017_SOM44,SOM44,2017-06-09 00:00:00,2,0.0,0.0,1.0,30,30,132,2,62,0.48,5,1.0,40,40
895,mike,06092017_SOM45,SOM45,2017-06-09 00:00:00,2,0.0,1.0,0.0,50,50,19,0,16,0.84,5,1.0,40,40
896,mike,06122017_PV29,PV29,2017-06-12 00:00:00,2,0.0,1.0,0.0,50,50,73,1,52,0.71,5,1.0,40,40
897,mike,06122017_PV30,PV30,2017-06-12 00:00:00,2,0.0,0.0,1.0,50,50,128,1,70,0.55,15,1.0,45,45
898,mike,06122017_SOM41,SOM41,2017-06-12 00:00:00,2,0.0,0.0,1.0,50,50,80,1,63,0.79,10,1.0,45,45
899,mike,06122017_SOM42,SOM42,2017-06-12 00:00:00,2,0.0,0.0,1.0,50,50,308,5,250,0.81,3,1.0,40,40
900,mike,06122017_SOM44,SOM44,2017-06-12 00:00:00,2,0.0,0.0,1.0,50,50,122,0,42,0.34,5,1.0,40,40
901,mike,06122017_SOM45,SOM45,2017-06-12 00:00:00,2,0.0,0.0,1.0,50,50,130,1,64,0.49,3,1.0,40,40
902,mike,06132017_PV29,PV29,2017-06-13 00:00:00,2,0.0,1.0,0.0,50,50,64,1,50,0.78,5,1.0,40,40
903,mike,06132017_PV30,PV30,2017-06-13 00:00:00,2,0.0,0.0,1.0,50,50,124,1,74,0.6,10,1.0,40,40
904,mike,06132017_SOM41,SOM41,2017-06-13 00:00:00,2,0.0,1.0,0.0,50,50,64,0,49,0.77,10,1.0,45,45
905,mike,06132017_SOM42,SOM42,2017-06-13 00:00:00,2,0.0,0.0,1.0,50,50,331,5,290,0.88,2,1.0,40,40
906,mike,06132017_SOM44,SOM44,2017-06-13 00:00:00,2,0.0,0.0,1.0,50,50,151,2,105,0.7,5,1.0,40,40
907,mike,06132017_SOM45,SOM45,2017-06-13 00:00:00,2,0.0,0.0,1.0,50,50,129,1,74,0.57,5,1.0,40,40
908,mike,06142017_PV29,PV29,2017-06-14 00:00:00,2,0.0,1.0,0.0,50,50,67,1,53,0.79,5,1.0,40,40
909,mike,06142017_PV30,PV30,2017-06-14 00:00:00,2,0.0,0.0,1.0,50,50,69,0,46,0.67,5,1.0,40,40
910,mike,06142017_SOM41,SOM41,2017-06-14 00:00:00,2,0.0,0.0,1.0,50,50,62,1,54,0.87,10,1.0,45,45
911,mike,06142017_SOM42,SOM42,2017-06-14 00:00:00,2,0.0,0.1,0.9,50,50,424,6,335,0.87,2,1.0,40,40
912,mike,06142017_SOM44,SOM44,2017-06-14 00:00:00,2,0.0,1.0,0.0,50,50,160,2,118,0.74,5,1.0,40,40
913,mike,06142017_SOM45,SOM45,2017-06-14 00:00:00,2,0.0,0.0,1.0,50,50,172,2,117,0.68,5,1.0,40,40
914,mike,06152017_PV29,PV29,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,69,1,53,0.77,5,1.0,40,40
915,mike,06152017_PV30,PV30,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,122,1,78,0.64,10,1.0,40,40
916,mike,06152017_SOM41,SOM41,2017-06-15 00:00:00,2,0.0,0.0,1.0,50,50,60,1,52,0.87,10,1.0,40,40
917,mike,06152017_SOM42,SOM42,2017-06-15 00:00:00,2,0.0,0.9,0.1,50,50,404,6,334,0.92,2,1.0,40,40
918,mike,06152017_SOM44,SOM44,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,192,3,151,0.79,4,1.0,40,40
919,mike,06152017_SOM45,SOM45,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,289,4,230,0.8,4,1.0,40,40
920,mike,06162017_PV29,PV29,2017-06-16 00:00:00,2,0.0,1.0,0.0,50,50,69,1,55,0.8,5,1.0,40,40
921,mike,06162017_PV30,PV30,2017-06-16 00:00:00,2,0.0,1.0,0.0,50,50,131,1,83,0.63,10,1.0,40,40
922,mike,06162017_SOM41,SOM41,2017-06-16 00:00:00,2,0.0,0.0,1.0,50,50,64,1,55,0.86,10,1.0,40,40
923,mike,06162017_SOM42,SOM42,2017-06-16 00:00:00,2,0.0,0.1,0.9,50,50,631,10,502,0.89,2,1.0,40,40
924,mike,06162017_SOM44,SOM44,2017-06-16 00:00:00,2,0.0,0.0,1.0,50,50,173,2,131,0.76,4,1.0,40,40
925,mike,06162017_SOM45,SOM45,2017-06-16 00:00:00,2,0.0,0.1,0.9,50,50,204,2,117,0.62,3,1.0,40,40
926,mike,06192017_PV29,PV29,2017-06-19 00:00:00,2,0.0,1.0,0.0,30,30,74,1,42,0.57,5,1.0,40,40
927,mike,06192017_PV30,PV30,2017-06-19 00:00:00,2,0.0,1.0,0.0,50,50,136,2,103,0.76,7,1.0,40,40
928,mike,06192017_SOM41,SOM41,2017-06-19 00:00:00,2,0.0,0.0,1.0,30,30,102,1,53,0.52,10,1.0,45,45
929,mike,06192017_SOM42,SOM42,2017-06-19 00:00:00,2,0.0,0.9,0.1,50,50,534,7,389,0.79,2,1.0,40,40
930,mike,06192017_SOM44,SOM44,2017-06-19 00:00:00,2,0.0,0.0,1.0,50,50,255,4,223,0.87,4,1.0,40,40
931,mike,06192017_SOM45,SOM45,2017-06-19 00:00:00,2,0.0,0.1,0.9,50,50,256,3,170,0.74,3,1.0,40,40
932,mike,06202017_PV29,PV29,2017-06-20 00:00:00,2,0.0,1.0,0.0,50,50,63,1,50,0.79,5,1.0,45,45
933,mike,06202017_PV30,PV30,2017-06-20 00:00:00,2,0.0,1.0,0.0,50,50,67,1,51,0.76,7,1.0,40,40
934,mike,06202017_SOM41,SOM41,2017-06-20 00:00:00,2,0.0,0.0,1.0,30,30,119,2,90,0.76,10,1.0,40,40
935,mike,06202017_SOM42,SOM42,2017-06-20 00:00:00,2,0.0,0.1,0.9,50,50,632,10,536,0.91,2,1.0,40,40
936,mike,06202017_SOM44,SOM44,2017-06-20 00:00:00,2,0.0,0.9,0.1,50,50,199,2,145,0.8,3,1.0,40,40
937,mike,06202017_SOM45,SOM45,2017-06-20 00:00:00,2,0.0,0.1,0.9,50,50,174,2,101,0.57,3,1.0,40,40
938,mike,06212017_PV29,PV29,2017-06-21 00:00:00,2,0.0,1.0,0.0,50,50,4,0,4,1.0,7,1.0,45,45
939,mike,06212017_PV30,PV30,2017-06-21 00:00:00,2,0.0,1.0,0.0,50,50,154,2,103,0.67,7,1.0,40,40
940,mike,06212017_SOM41,SOM41,2017-06-21 00:00:00,2,0.0,1.0,0.0,30,30,187,3,112,0.6,7,1.0,40,40
941,mike,06212017_SOM42,SOM42,2017-06-21 00:00:00,2,0.0,0.9,0.1,50,50,511,8,405,0.86,2,1.0,40,40
942,mike,06212017_SOM44,SOM44,2017-06-21 00:00:00,2,0.0,1.0,0.0,50,50,113,1,92,0.81,3,1.0,40,40
943,mike,06212017_SOM45,SOM45,2017-06-21 00:00:00,2,0.0,0.1,0.9,50,50,252,3,172,0.75,3,1.0,40,40
944,mike,06222017_PV29,PV29,2017-06-22 00:00:00,2,0.0,1.0,0.0,30,30,7,0,6,0.86,10,1.0,50,50
945,mike,06222017_PV30,PV30,2017-06-22 00:00:00,2,0.0,1.0,0.0,50,50,120,1,88,0.73,6,1.0,40,40
946,mike,06222017_SOM41,SOM41,2017-06-22 00:00:00,2,0.0,0.0,1.0,50,50,21,0,10,0.48,7,1.0,40,40
947,mike,06222017_SOM42,SOM42,2017-06-22 00:00:00,2,0.0,0.9,0.1,50,50,571,9,453,0.86,2,1.0,40,40
948,mike,06222017_SOM44,SOM44,2017-06-22 00:00:00,2,0.0,0.9,0.1,50,50,152,2,104,0.77,2,1.0,40,40
949,mike,06222017_SOM45,SOM45,2017-06-22 00:00:00,2,0.0,0.9,0.1,50,50,272,3,188,0.72,2,1.0,40,40
950,mike,06232017_PV30,PV30,2017-06-23 00:00:00,2,0.0,0.0,1.0,50,50,252,3,183,0.73,7,1.0,40,40
951,mike,06232017_SOM41,SOM41,2017-06-23 00:00:00,2,0.0,1.0,0.0,50,50,250,4,211,0.84,7,1.0,40,40
952,mike,06232017_SOM42,SOM42,2017-06-23 00:00:00,2,0.0,0.1,0.9,50,50,585,9,470,0.85,2,1.0,40,40
953,mike,06232017_SOM44,SOM44,2017-06-23 00:00:00,2,0.0,0.1,0.9,50,50,169,2,117,0.73,2,1.0,40,40
954,mike,06232017_SOM45,SOM45,2017-06-23 00:00:00,2,0.0,0.1,0.9,50,50,479,7,359,0.81,2,1.0,40,40
955,mike,06262017_PV30,PV30,2017-06-26 00:00:00,2,0.0,0.9,0.1,50,50,301,4,214,0.81,7,1.0,40,40
956,mike,06262017_SOM41,SOM41,2017-06-26 00:00:00,2,0.0,0.9,0.1,50,50,428,6,328,0.83,7,1.0,40,40
957,mike,06262017_SOM42,SOM42,2017-06-26 00:00:00,2,0.0,0.9,0.1,50,50,618,9,479,0.84,2,1.0,40,40
